OBJECTID,ZCTA5CE10,Zip,PopOver5,EngOnly,Spanish,Indo_Euro,Asian,Other,PovPop,Under50,Under100,Under130,Under200,Ineligible,Adj_Denom,CalFresh,PRI_Code,Elig_Non_R
392,90747,90747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data,0
362,91046,91046,125,44,13,39,29,0,125,0,13,27.04,82,29.476,-2.436,13,Below Zero (Data Error),0
657,92132,92132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data,0
403,91210,91210,813,609,102,90,6,6,886,125,197,204.88,240,0,0,0,No Data,0
348,90831,90831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data,0
277,94850,94850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data,0
789,95041,95041,341,191,150,0,0,0,410,0,11,11.44,230,0,0,0,No Data,0
578,93410,93410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data,0
347,90822,90822,148,121,16,3,8,0,0,0,0,0,0,0,0,0,No Data,0
795,95053,95053,3219,2324,345,149,374,27,38,0,0,0,0,0,0,0,No Data,0
185,94575,94575,1175,854,166,72,74,9,37,10,10,21.84,25,0,0,0,No Data,0
658,92134,92134,216,169,30,17,0,0,0,0,0,0,0,0,0,0,No Data,0
894,95211,95211,1665,1124,53,96,360,32,0,0,0,0,0,0,0,0,No Data,0
673,92147,92147,569,472,67,0,30,0,0,0,0,0,0,0,0,0,No Data,0
258,94613,94613,855,560,145,48,102,0,5,2,2,2.08,2,2.09,-0.01,26,Below Zero (Data Error),0
730,95697,95697,421,177,244,0,0,0,430,0,35,36.4,104,20.33538,16.06462,91,Over 100 (Data Error),0
675,92155,92155,528,395,56,11,66,0,0,0,0,0,0,0,0,0,No Data,0
974,92662,92662,2766,2588,143,26,9,0,2863,40,104,116.48,349,8.28,108.2,44,25.0 - 49.9,64.2
827,95113,95113,1271,808,50,76,267,70,1332,161,377,457.6,494,279.57898,178.02102,2131,Over 100 (Data Error),0
775,95736,95736,165,130,8,20,0,7,97,0,0,0,0,14.15746,-14.15746,62,Below Zero (Data Error),0
415,93043,93043,155,0,155,0,0,0,163,0,0,0,119,0,0,0,No Data,0
632,91608,91608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data,0
470,93258,93258,2447,289,1653,0,468,37,2650,669,1414,1686.88,2031,595.75712,1091.12288,2016,Over 100 (Data Error),0
380,90743,90743,368,333,22,13,0,0,368,5,72,89.44,92,0,0,0,No Data,0
379,90742,90742,623,564,30,11,18,0,627,36,36,39.52,64,3.276,36.244,56,Over 100 (Data Error),0
741,94964,94964,3322,2255,839,44,124,60,131,0,0,0,0,1.197,-1.197,16,Below Zero (Data Error),0
186,94576,94576,102,79,18,5,0,0,83,0,0,0,11,0,0,0,No Data,0
661,92140,92140,3085,2467,542,41,35,0,50,0,0,0,0,0,0,0,No Data,0
385,91203,91203,13488,2329,1943,6821,2133,262,14010,627,1972,3528.72,5702,945.42286,2583.29714,1748,50.0 - 79.9,835.29714
269,94709,94709,11427,7676,698,1277,1661,115,10892,1520,1998,2395.12,3461,107.28568,2287.83432,252,0 - 24.9,2035.83432
659,92135,92135,851,768,56,0,27,0,0,0,0,0,0,0,0,0,No Data,0
372,90716,90716,13206,2883,8705,125,1439,54,14336,1154,4266,5840.64,8726,1315.7871,4524.8529,2019,25.0 - 49.9,2505.8529
356,91020,91020,8217,4126,1053,1609,1424,5,8217,598,1012,1431.04,2103,199.35168,1231.68832,394,25.0 - 49.9,837.68832
809,92378,92378,154,59,95,0,0,0,154,0,0,0,52,35.57768,-35.57768,102,Below Zero (Data Error),0
886,95202,95202,5875,3680,1778,85,318,14,6424,1239,3173,4370.08,5038,1236.3564,3133.7236,8246,Over 100 (Data Error),0
822,92401,92401,1613,934,658,0,21,0,1870,472,981,1334.32,1658,268.423,1065.897,904,80.0 - 100.0,161.897
271,94720,94720,3166,1505,331,344,942,44,92,42,42,43.68,42,0.418,43.262,14,25.0 - 49.9,29.262
61,94516,94516,152,137,11,4,0,0,157,0,5,11.44,11,0,0,0,No Data,0
850,95139,95139,6490,4422,1016,397,640,15,7071,139,281,406.64,817,96.30068,310.33932,228,50.0 - 79.9,82.33932
21,94133,94133,26559,11225,1439,1594,12201,100,27452,1883,5171,6824.48,11164,1989.27572,4835.20428,2115,25.0 - 49.9,2720.20428
526,96090,96090,452,416,35,1,0,0,467,22,73,101.92,226,18.023,83.897,43,50.0 - 79.9,40.897
323,94933,94933,618,523,95,0,0,0,658,10,26,35.36,58,10.10292,25.25708,51,Over 100 (Data Error),0
266,94706,94706,19138,11619,1648,1852,3598,421,20626,1045,2155,2485.6,3901,298.16118,2187.43882,587,25.0 - 49.9,1600.43882
147,95968,95968,1195,707,479,9,0,0,1250,109,432,600.08,637,114.12906,485.95094,402,80.0 - 100.0,83.95094
363,91101,91101,19728,11593,4020,938,2960,217,20625,2543,4489,5906.16,7310,903.54072,5002.61928,1178,0 - 24.9,3824.61928
291,92845,92845,16400,13113,1051,258,1874,104,17253,505,898,1092,2223,112.52414,979.47586,543,50.0 - 79.9,436.47586
752,95007,95007,672,672,0,0,0,0,683,142,235,287.04,276,13.82,273.22,55,0 - 24.9,218.22
387,91205,91205,35811,7665,7698,15978,3890,580,37489,2263,8119,12145.12,18474,3249.23504,8895.88496,6174,50.0 - 79.9,2721.88496
483,93276,93276,194,182,12,0,0,0,207,16,85,88.4,124,7.53292,80.86708,69,80.0 - 100.0,11.86708
183,94573,94573,60,19,41,0,0,0,86,0,0,0,0,7.66846,-7.66846,16,Below Zero (Data Error),0
295,92866,92866,14973,9239,4978,359,355,42,15656,1720,2668,3669.12,5411,580.74426,3088.37574,1065,25.0 - 49.9,2023.37574
969,95312,95312,286,187,99,0,0,0,290,62,77,143.52,147,14.46384,129.05616,62,25.0 - 49.9,67.05616
622,93524,93524,171,148,6,2,15,0,0,0,0,0,0,0,0,0,No Data,0
938,92617,92617,16498,9404,2062,1375,3400,257,10774,4122,4814,5188.56,6024,65.6566,5122.9034,137,0 - 24.9,4985.9034
407,91303,91303,27294,7200,15555,2279,1712,548,29595,2998,6678,9848.8,14619,2219.81322,7628.98678,3660,25.0 - 49.9,3968.98678
431,93202,93202,3349,1735,1465,0,149,0,3546,344,726,901.68,1892,220.55394,681.12606,1152,Over 100 (Data Error),0
954,92655,92655,8998,2567,1936,134,4338,23,9242,822,2181,2847.52,4736,789.20794,2058.31206,1723,80.0 - 100.0,335.31206
386,91204,91204,16597,3291,5060,5610,2456,180,17136,1408,3861,5540.08,8646,1306.82872,4233.25128,4143,80.0 - 100.0,90.25128
997,95814,95814,10333,7828,1348,543,562,52,8555,1121,2753,3356.08,4319,582.21544,2773.86456,1044,25.0 - 49.9,1729.86456
799,95064,95064,9619,4773,2050,666,2001,129,1180,254,343,431.6,515,20.67784,410.92216,169,25.0 - 49.9,241.92216
421,93067,93067,690,479,108,94,0,9,690,0,41,72.8,154,6.292,66.508,38,50.0 - 79.9,28.508
9,94130,94130,3026,1872,495,125,412,122,2973,1177,1588,1777.36,2017,180.56626,1596.79374,533,25.0 - 49.9,1063.79374
754,95010,95010,8955,6880,1712,99,264,0,9226,513,1060,1599.52,2261,173.43196,1426.08804,663,25.0 - 49.9,763.08804
756,95013,95013,66,43,23,0,0,0,66,11,11,11.44,11,11.44992,-0.00992,45,Below Zero (Data Error),0
384,91202,91202,22258,7503,2118,9915,2276,446,23100,745,3073,4545.84,7259,1128.49674,3417.34326,1676,25.0 - 49.9,1741.34326
263,94703,94703,20320,15638,1693,1287,1484,218,21198,1855,3386,4455.36,6708,537.38992,3917.97008,1255,25.0 - 49.9,2662.97008
345,90814,90814,17919,13588,2902,665,659,105,18529,1184,2773,3460.08,5863,337.56378,3122.51622,822,25.0 - 49.9,2300.51622
257,94612,94612,14818,9111,1323,540,3270,574,15007,1539,4283,5516.16,7671,1310.802,4205.358,4086,80.0 - 100.0,119.358
357,91024,91024,10393,8607,628,371,716,71,11056,365,641,780,1043,86.66938,693.33062,172,0 - 24.9,521.33062
641,91723,91723,17720,10323,5833,71,1305,188,18953,836,2214,3128.32,6311,600.90112,2527.41888,1790,50.0 - 79.9,737.41888
352,91008,91008,1144,705,123,61,211,44,1146,78,108,126.88,193,8.328,118.552,12,0 - 24.9,106.552
682,92222,92222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data,0
371,90715,90715,18725,8255,5493,737,4126,114,19957,766,2583,3921.84,7041,661.88894,3259.95106,1500,25.0 - 49.9,1759.95106
262,94702,94702,16497,12320,1668,907,1341,261,17650,1383,2710,3137.68,4572,440.16302,2697.51698,1098,25.0 - 49.9,1599.51698
813,92386,92386,1920,1820,92,0,8,0,1992,40,289,564.72,1117,74.3346,490.3854,578,Over 100 (Data Error),0
627,91602,91602,17642,13267,1709,1577,901,188,18600,922,2016,2626,4317,165.31352,2460.68648,580,0 - 24.9,1880.68648
6,94127,94127,19499,13051,1313,1537,3508,90,20567,765,1250,1739.92,2810,191.79976,1548.12024,260,0 - 24.9,1288.12024
588,93433,93433,12497,9651,1925,275,582,64,13456,473,1483,2603.12,4343,343.62912,2259.49088,1123,25.0 - 49.9,1136.49088
973,92661,92661,3399,3059,89,238,13,0,3419,324,473,586.56,705,11.1,575.46,69,0 - 24.9,506.46
3,94122,94122,59392,30974,2181,3973,21695,569,61568,3029,5689,7442.24,11482,1219.86844,6222.37156,1716,25.0 - 49.9,4506.37156
625,91506,91506,17008,10933,3474,1122,1275,204,17870,695,1596,1952.08,3604,306.87136,1645.20864,793,25.0 - 49.9,852.20864
573,96148,96148,698,346,341,11,0,0,776,66,87,146.64,261,14.05038,132.58962,35,25.0 - 49.9,97.58962
320,94929,94929,135,119,9,7,0,0,135,0,0,35.36,45,0,0,0,No Data,0
359,91030,91030,24546,14990,2782,831,5813,130,25742,1058,2337,2854.8,4525,267.21674,2587.58326,477,0 - 24.9,2110.58326
383,91201,91201,22448,5634,3826,10980,1588,420,23380,673,3406,5109.52,8804,1532.11776,3577.40224,2696,50.0 - 79.9,881.40224
22,94134,94134,39525,11479,7167,720,19997,162,41370,2142,4878,6770.4,12898,3083.0605,3687.3395,5185,Over 100 (Data Error),0
771,95724,95724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data,0
760,95019,95019,5678,1397,4111,15,110,45,6247,262,1405,1841.84,3389,942.27792,899.56208,1785,Over 100 (Data Error),0
8,94129,94129,3348,2708,289,262,89,0,3734,134,153,202.8,383,23.64692,179.15308,83,25.0 - 49.9,96.15308
290,92844,92844,22294,5322,4002,367,12336,267,23491,2106,4722,6632.08,10382,1691.27322,4940.80678,3820,50.0 - 79.9,1120.80678
1,94118,94118,39397,25895,1934,2560,8768,240,41512,2547,4731,6368.96,8656,779.9364,5589.0236,939,0 - 24.9,4650.0236
396,90804,90804,37835,18770,14575,715,3711,64,39896,4646,10159,13076.96,19835,2723.18448,10353.77552,5066,25.0 - 49.9,5287.77552
370,90713,90713,26890,20501,3681,463,2133,112,28690,598,1203,1486.16,4134,324.05104,1162.10896,846,50.0 - 79.9,316.10896
293,92861,92861,5761,4550,225,219,679,88,5872,221,319,422.24,643,29.57646,392.66354,68,0 - 24.9,324.66354
284,92832,92832,23825,11505,10238,433,1573,76,25105,1867,4408,5785.52,10398,1341.42738,4444.09262,3180,50.0 - 79.9,1264.09262
267,94707,94707,11605,9608,448,1006,493,50,12128,439,631,821.6,1387,40.59646,781.00354,89,0 - 24.9,692.00354
631,91607,91607,29514,18194,5383,3497,1129,1311,30993,1653,3568,4648.8,8317,818.6882,3830.1118,1676,25.0 - 49.9,2154.1118
933,92604,92604,27076,15060,2131,3359,5762,764,28536,1636,2492,3077.36,5018,307.99352,2769.36648,869,25.0 - 49.9,1900.36648
2,94121,94121,40671,21351,1302,4454,13316,248,42402,1959,4473,6437.6,10234,1095.51684,5342.08316,1467,25.0 - 49.9,3875.08316
264,94704,94704,26868,16474,1925,2627,5532,310,19626,7318,9821,11382.8,12624,198.81922,11183.98078,486,0 - 24.9,10697.98078
660,92139,92139,33864,15269,9854,201,8217,323,36438,2319,4977,6382.48,12194,1169.06166,5213.41834,3802,50.0 - 79.9,1411.41834
24,94301,94301,16734,11869,685,1532,2490,158,17192,498,1276,1609.92,2088,184.14706,1425.77294,199,0 - 24.9,1226.77294
373,90717,90717,20277,13541,4220,524,1932,60,21490,1576,2881,3834.48,6481,551.27468,3283.20532,1337,25.0 - 49.9,1946.20532
365,91104,91104,35986,19275,9973,3764,2528,446,38461,2219,6392,8895.12,13647,1771.09546,7124.02454,4571,50.0 - 79.9,2553.02454
254,94609,94609,21293,16363,2103,790,1188,849,21984,1887,3513,4535.44,6912,554.77776,3980.66224,1850,25.0 - 49.9,2130.66224
294,92865,92865,19235,12281,4518,611,1630,195,20506,667,1987,2837.12,4551,907.56488,1929.55512,1664,80.0 - 100.0,265.55512
275,94805,94805,13934,7764,3414,662,1544,550,14802,608,1936,2536.56,4407,431.16834,2105.39166,855,25.0 - 49.9,1250.39166
11,94132,94132,30236,14894,2689,2837,9508,308,28656,4347,6065,7366.32,10098,699.966,6666.354,1163,0 - 24.9,5503.354
738,94957,94957,1277,1219,20,28,10,0,1301,54,85,119.6,149,2.907,116.693,13,0 - 24.9,103.693
34,94502,94502,13403,9275,468,648,2938,74,14114,211,364,516.88,967,84.39646,432.48354,166,25.0 - 49.9,266.48354
829,95117,95117,28645,13300,7653,1905,4778,1009,30445,2503,3873,5579.6,8939,1778.71932,3800.88068,2251,50.0 - 79.9,1549.88068
672,92145,92145,1945,1224,150,154,275,142,2096,34,34,35.36,194,0,0,0,No Data,0
699,91803,91803,28232,6981,7722,605,12844,80,29222,1353,3762,5319.6,9902,1145.46972,4174.13028,1799,25.0 - 49.9,2375.13028
206,94601,94601,46785,16463,21120,543,7587,1072,49806,5742,13674,18134.48,26692,5371.13354,12763.34646,9903,50.0 - 79.9,2860.34646
446,93223,93223,9700,2394,7293,0,13,0,10609,1458,3117,4594.72,7072,1163.83852,3430.88148,3662,Over 100 (Data Error),0
626,91601,91601,37446,19269,12073,3930,1791,383,39241,3156,8556,11104.08,15867,1835.46706,9268.61294,3404,25.0 - 49.9,5864.61294
856,92411,92411,23931,8065,14748,103,912,103,26036,4443,8958,12512.24,18091,2900.17824,9612.06176,9437,80.0 - 100.0,175.06176
492,93301,93301,10396,8007,1986,71,332,0,11284,1677,3607,4930.64,6646,1139.12288,3791.51712,4482,Over 100 (Data Error),0
393,90755,90755,10584,5414,3389,287,1417,77,11419,834,1778,2721.68,3907,369.15716,2352.52284,754,25.0 - 49.9,1598.52284
253,94608,94608,27537,19837,2872,1637,2220,971,28762,2601,5019,6657.04,9946,896.58956,5760.45044,2873,25.0 - 49.9,2887.45044
