Family Type,Adult(s),Infant(s),Preshooler(s),Schoolager(s),Teenager(s),State,Year,All Families Table #,County,Housing Costs,Child Care Costs,Food Costs,Transportation Costs,Health Care Costs,Miscellaneous costs,Taxes,Earned Income Tax Credit (-),Child Care Tax Credit (-),Child Tax Credit (-),Hourly Self-Sufficiency Wage,Monthly Self-Sufficiency Wage,Annual Self-Sufficiency Wage,Emergency Savings
a1i0p1s1t0,1,0,1.0,1.0,0.0,CA,2018,1,Alameda County,"$2,322 ","$2,312 ",$698 ,$162 ,$484 ,$598 ,"$2,144 ",$0 ,($100),($333),$47.09 ,"$8,287 ","$99,446 ",$514 
a1i0p1s1t0,1,0,1.0,1.0,0.0,CA,2018,2,Alpine County,$940 ,"$1,278 ",$659 ,$274 ,$559 ,$371 ,$679 ,$0 ,($100),($333),$24.59 ,"$4,327 ","$51,926 ",$192 
a1i0p1s1t0,1,0,1.0,1.0,0.0,CA,2018,3,Amador County,"$1,055 ","$1,429 ",$771 ,$278 ,$559 ,$409 ,$786 ,$0 ,($100),($333),$27.58 ,"$4,854 ","$58,244 ",$233 
a1i0p1s1t0,1,0,1.0,1.0,0.0,CA,2018,4,Butte County,$992 ,"$1,542 ",$607 ,$275 ,$559 ,$397 ,$753 ,$0 ,($100),($333),$26.66 ,"$4,692 ","$56,302 ",$221 
a1i0p1s1t0,1,0,1.0,1.0,0.0,CA,2018,5,Calaveras County,$902 ,"$1,287 ",$833 ,$281 ,$559 ,$386 ,$722 ,$0 ,($100),($333),$25.78 ,"$4,537 ","$54,444 ",$210 
a1i0p1s1t0,1,0,1.0,1.0,0.0,CA,2018,6,Colusa County,$856 ,"$1,299 ",$576 ,$275 ,$559 ,$356 ,$638 ,$0 ,($100),($333),$23.44 ,"$4,125 ","$49,504 ",$175 
a1i0p1s1t0,1,0,1.0,1.0,0.0,CA,2018,7,Contra Costa County,"$2,339 ","$2,280 ",$665 ,$283 ,$541 ,$611 ,"$2,292 ",$0 ,($100),($333),$48.74 ,"$8,578 ","$102,934 ",$529 
a1i0p1s1t0,1,0,1.0,1.0,0.0,CA,2018,8,Del Norte County,$893 ,"$1,479 ",$632 ,$270 ,$559 ,$383 ,$713 ,$0 ,($100),($333),$25.54 ,"$4,495 ","$53,941 ",$207 
a1i0p1s1t0,1,0,1.0,1.0,0.0,CA,2018,9,El Dorado County,"$1,073 ","$1,695 ",$812 ,$275 ,$524 ,$438 ,$864 ,$0 ,($100),($333),$29.82 ,"$5,248 ","$62,982 ",$437 
a1i0p1s1t0,1,0,1.0,1.0,0.0,CA,2018,10,Fresno County,$958 ,"$1,519 ",$553 ,$280 ,$409 ,$372 ,$682 ,$0 ,($100),($333),$24.66 ,"$4,340 ","$52,084 ",$193 
