Family Type,Adult(s),Infant(s),Preshooler(s),Schoolager(s),Teenager(s),State,Year,All Families Table #,County,Housing Costs,Child Care Costs,Food Costs,Transportation Costs,Health Care Costs,Miscellaneous costs,Taxes,Earned Income Tax Credit (-),Child Care Tax Credit (-),Child Tax Credit (-),Hourly Self-Sufficiency Wage,Monthly Self-Sufficiency Wage,Annual Self-Sufficiency Wage,Emergency Savings
a2i0p1s1t0,2,0,1.0,1.0,0.0,CA,2018,1,Alameda County,"$2,322 ","$2,312 ",$939 ,$324 ,$545 ,$644 ,"$1,538 ",$0 ,($100),($333),$23.27 ,"$8,191 ","$98,296 ",$168 
a2i0p1s1t0,2,0,1.0,1.0,0.0,CA,2018,2,Alpine County,$940 ,"$1,278 ",$887 ,$523 ,$620 ,$425 ,$743 ,$0 ,($100),($333),$14.15 ,"$4,982 ","$59,784 ",$97 
a2i0p1s1t0,2,0,1.0,1.0,0.0,CA,2018,3,Amador County,"$1,055 ","$1,429 ","$1,037 ",$531 ,$620 ,$467 ,$862 ,$0 ,($100),($333),$15.82 ,"$5,568 ","$66,814 ",$108 
a2i0p1s1t0,2,0,1.0,1.0,0.0,CA,2018,4,Butte County,$992 ,"$1,542 ",$816 ,$524 ,$620 ,$449 ,$812 ,$0 ,($100),($333),$15.12 ,"$5,323 ","$63,873 ",$104 
a2i0p1s1t0,2,0,1.0,1.0,0.0,CA,2018,5,Calaveras County,$902 ,"$1,287 ","$1,121 ",$537 ,$620 ,$447 ,$804 ,$0 ,($100),($333),$15.01 ,"$5,285 ","$63,414 ",$103 
a2i0p1s1t0,2,0,1.0,1.0,0.0,CA,2018,6,Colusa County,$856 ,"$1,299 ",$775 ,$524 ,$620 ,$407 ,$694 ,$0 ,($100),($333),$13.47 ,"$4,741 ","$56,897 ",$94 
a2i0p1s1t0,2,0,1.0,1.0,0.0,CA,2018,7,Contra Costa County,"$2,339 ","$2,280 ",$894 ,$542 ,$602 ,$666 ,"$1,684 ",$0 ,($100),($333),$24.36 ,"$8,573 ","$102,877 ",$181 
a2i0p1s1t0,2,0,1.0,1.0,0.0,CA,2018,8,Del Norte County,$893 ,"$1,479 ",$850 ,$514 ,$620 ,$436 ,$773 ,$0 ,($100),($333),$14.58 ,"$5,131 ","$61,572 ",$99 
a2i0p1s1t0,2,0,1.0,1.0,0.0,CA,2018,9,El Dorado County,"$1,073 ","$1,695 ","$1,092 ",$525 ,$585 ,$497 ,$950 ,$0 ,($100),($333),$17.00 ,"$5,984 ","$71,810 ",$113 
a2i0p1s1t0,2,0,1.0,1.0,0.0,CA,2018,10,Fresno County,$958 ,"$1,519 ",$744 ,$535 ,$470 ,$423 ,$737 ,$0 ,($100),($333),$14.07 ,"$4,953 ","$59,440 ",$97 
