geoid,name,total_population,median_income,median_home_value,educational_attainment,white_alone,black_alone,native,asian,native_hawaiian_pacific_islander,some_other_race_alone,two_or_more,hispanic_or_latino,unemployed,labor_force,receives_snap,snap_universe,receives_pai,pai_universe,uninsured,insured_universe,median_percentage_income_rent
06001400100,"Census Tract 4001, Alameda County, California",3018,177417.0,1074100.0,1981.0,2145.0,92.0,0.0,491.0,0.0,75.0,132.0,83.0,75.0,1643.0,0.0,1292.0,9.0,1292.0,110.0,3018.0,17.6
06001400200,"Census Tract 4002, Alameda County, California",1960,153125.0,978900.0,1278.0,1426.0,11.0,4.0,165.0,0.0,5.0,138.0,211.0,41.0,1270.0,5.0,813.0,0.0,813.0,73.0,1960.0,18.5
06001400300,"Census Tract 4003, Alameda County, California",5236,85313.0,912700.0,2817.0,3346.0,606.0,9.0,599.0,36.0,0.0,254.0,386.0,204.0,3402.0,55.0,2439.0,58.0,2439.0,160.0,5236.0,27.0
06001400400,"Census Tract 4004, Alameda County, California",4171,99539.0,848900.0,2512.0,2758.0,410.0,25.0,458.0,0.0,0.0,266.0,266.0,114.0,2678.0,29.0,1798.0,27.0,1798.0,173.0,4165.0,23.7
06001400500,"Census Tract 4005, Alameda County, California",3748,83650.0,683500.0,1822.0,1972.0,944.0,0.0,140.0,24.0,19.0,163.0,486.0,82.0,2545.0,50.0,1643.0,71.0,1643.0,397.0,3748.0,24.3
06001400600,"Census Tract 4006, Alameda County, California",1661,61597.0,572300.0,742.0,636.0,584.0,5.0,116.0,0.0,19.0,143.0,158.0,104.0,1116.0,43.0,713.0,38.0,713.0,151.0,1661.0,36.8
06001400700,"Census Tract 4007, Alameda County, California",4552,46424.0,608500.0,1290.0,1700.0,1691.0,91.0,119.0,0.0,0.0,215.0,752.0,227.0,2712.0,215.0,1787.0,33.0,1787.0,692.0,4552.0,32.5
06001400800,"Census Tract 4008, Alameda County, California",3506,61111.0,535600.0,1383.0,1390.0,1093.0,7.0,436.0,0.0,0.0,159.0,421.0,203.0,2296.0,84.0,1580.0,59.0,1580.0,362.0,3500.0,30.0
06001400900,"Census Tract 4009, Alameda County, California",2262,55691.0,505100.0,781.0,899.0,734.0,10.0,188.0,0.0,63.0,104.0,264.0,62.0,1435.0,60.0,1025.0,39.0,1025.0,146.0,2262.0,30.0
06001401000,"Census Tract 4010, Alameda County, California",6193,51073.0,422100.0,1582.0,1914.0,2057.0,9.0,194.0,85.0,56.0,498.0,1380.0,333.0,3954.0,299.0,2619.0,248.0,2619.0,574.0,6184.0,36.4
06001401100,"Census Tract 4011, Alameda County, California",4138,71205.0,596200.0,2178.0,2130.0,669.0,0.0,622.0,0.0,0.0,262.0,455.0,306.0,3182.0,57.0,2032.0,24.0,2032.0,486.0,4138.0,25.8
06001401200,"Census Tract 4012, Alameda County, California",2614,83208.0,665900.0,1316.0,1486.0,366.0,19.0,186.0,0.0,0.0,128.0,438.0,203.0,1909.0,79.0,1231.0,45.0,1231.0,111.0,2584.0,24.6
06001401300,"Census Tract 4013, Alameda County, California",3976,37123.0,588300.0,1327.0,1287.0,1289.0,37.0,709.0,0.0,0.0,157.0,506.0,360.0,2536.0,236.0,1705.0,98.0,1705.0,886.0,3683.0,30.2
06001401400,"Census Tract 4014, Alameda County, California",4108,25985.0,363900.0,631.0,691.0,1620.0,100.0,352.0,27.0,36.0,159.0,1145.0,234.0,1999.0,305.0,1544.0,178.0,1544.0,709.0,4108.0,42.3
06001401500,"Census Tract 4015, Alameda County, California",2605,48903.0,405400.0,695.0,957.0,1009.0,6.0,189.0,23.0,0.0,109.0,314.0,200.0,1661.0,123.0,1023.0,58.0,1023.0,461.0,2605.0,34.1
06001401600,"Census Tract 4016, Alameda County, California",2173,36544.0,366700.0,516.0,554.0,713.0,11.0,233.0,65.0,20.0,110.0,478.0,67.0,1184.0,190.0,781.0,86.0,781.0,302.0,2173.0,39.2
06001401700,"Census Tract 4017, Alameda County, California",2679,66308.0,408700.0,864.0,851.0,642.0,0.0,267.0,0.0,0.0,77.0,842.0,110.0,1588.0,89.0,1231.0,82.0,1231.0,245.0,2663.0,28.3
06001401800,"Census Tract 4018, Alameda County, California",1866,28185.0,426700.0,451.0,510.0,798.0,0.0,43.0,0.0,5.0,149.0,361.0,150.0,1006.0,201.0,731.0,128.0,731.0,310.0,1866.0,40.5
06001402200,"Census Tract 4022, Alameda County, California",2406,45400.0,465400.0,501.0,652.0,768.0,17.0,341.0,37.0,0.0,46.0,545.0,153.0,1359.0,164.0,838.0,47.0,838.0,376.0,2406.0,36.8
