state,fips,mrfei
CA,06001400100,100
CA,06001400200,21
CA,06001400300,11
CA,06001400400,20
CA,06001400500,8
CA,06001400600,0
CA,06001400700,3
CA,06001400800,0
CA,06001400900,5
CA,06001401000,4
CA,06001401100,3
CA,06001401200,11
CA,06001401300,8
CA,06001401400,8
CA,06001401500,7
CA,06001401600,6
CA,06001401700,10
CA,06001401800,0
CA,06001401900,0
CA,06001402000,13
CA,06001402100,0
CA,06001402200,0
CA,06001402300,0
CA,06001402400,0
CA,06001402500,0
CA,06001402600,10
CA,06001402700,6
CA,06001402800,9
CA,06001402900,10
CA,06001403000,10
CA,06001403100,9
CA,06001403200,13
CA,06001403300,16
CA,06001403400,15
CA,06001403500,9
CA,06001403600,23
CA,06001403700,12
CA,06001403800,11
CA,06001403900,15
CA,06001404000,13
CA,06001404100,12
CA,06001404200,13
CA,06001404300,22
CA,06001404400,50
CA,06001404501,33
CA,06001404502,30
CA,06001404600,33
CA,06001404700,33
CA,06001404800,7
CA,06001404900,5
CA,06001405000,8
CA,06001405100,12
CA,06001405200,11
CA,06001405300,22
CA,06001405400,16
CA,06001405500,10
CA,06001405600,0
CA,06001405700,0
CA,06001405800,0
CA,06001405900,9
CA,06001406000,15
CA,06001406100,13
CA,06001406201,13
CA,06001406202,15
CA,06001406300,11
CA,06001406400,9
CA,06001406500,10
CA,06001406600,16
CA,06001406700,10
CA,06001406800,20
CA,06001406900,19
CA,06001407000,12
CA,06001407100,12
CA,06001407200,12
CA,06001407300,12
CA,06001407400,13
CA,06001407500,8
CA,06001407600,14
CA,06001407700,4
CA,06001407800,11
CA,06001407900,20
CA,06001408000,25
CA,06001408100,17
CA,06001408200,7
CA,06001408300,6
CA,06001408400,6
CA,06001408500,3
CA,06001408600,3
CA,06001408700,8
CA,06001408800,3
CA,06001408900,0
CA,06001409000,0
CA,06001409100,0
CA,06001409200,0
CA,06001409300,12
CA,06001409400,8
CA,06001409500,9
CA,06001409600,7
CA,06001409700,10
CA,06001409800,0
CA,06001409900,0
CA,06001410000,6
CA,06001410100,5
CA,06001410200,4
CA,06001410300,9
CA,06001410400,9
CA,06001420100,23
CA,06001420200,22
CA,06001420300,17
CA,06001420400,29
CA,06001420500,25
CA,06001420600,18
CA,06001421100,0
CA,06001421200,8
CA,06001421300,17
CA,06001421400,31
CA,06001421500,29
CA,06001421600,18
CA,06001421700,12
CA,06001421800,22
CA,06001421900,15
CA,06001422000,15
CA,06001422100,16
CA,06001422200,15
CA,06001422300,14
CA,06001422400,11
CA,06001422500,14
CA,06001422600,11
CA,06001422700,5
CA,06001422800,8
CA,06001422900,10
CA,06001423000,7
CA,06001423100,14
CA,06001423200,16
CA,06001423300,5
CA,06001423400,8
CA,06001423500,12
CA,06001423601,18
CA,06001423602,12
